Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Most_Used_Payment_Method,Location,Season,No_of_Subscribers,Sales_per_customer,Date
1,1643690.9,0,42.31,2.572,211.0963582,8.106,Venmo,Kentucky,Winter,265,314.6400146,05-02-2010
1,1641957.44,1,38.51,2.548,211.2421698,8.106,Cash,Maine,Winter,237,311.3599854,12-02-2010
1,1611968.17,0,39.93,2.514,211.2891429,8.106,Credit Card,Massachusetts,Spring,281,309.7200012,19-02-2010
1,1409727.59,0,46.63,2.561,211.3196429,8.106,PayPal,Rhode Island,Spring,125,288.4200134,26-02-2010
1,1554806.68,0,46.5,2.625,211.3501429,8.106,PayPal,Oregon,Spring,224,285.1400146,05-03-2010
1,1439541.59,0,57.79,2.667,211.3806429,8.106,Venmo,Wyoming,Summer,217,278.5899963,12-03-2010
1,1472515.79,0,54.58,2.72,211.215635,8.106,Cash,Montana,Fall,177,275.3099976,19-03-2010
1,1404429.92,0,51.45,2.732,211.0180424,8.106,Credit Card,Louisiana,Winter,116,272.0299988,26-03-2010
1,1594968.28,0,62.27,2.719,210.8204499,7.808,Venmo,West Virginia,Summer,110,268.7600098,02-04-2010
1,1545418.53,0,65.86,2.77,210.6228574,7.808,Cash,Missouri,Spring,112,262.2000122,09-04-2010
1,1466058.28,0,66.32,2.808,210.4887,7.808,Bank Transfer,Arkansas,Fall,166,245.8099976,16-04-2010
1,1391256.12,0,64.84,2.795,210.4391228,7.808,Bank Transfer,Hawaii,Winter,210,327.75,23-04-2010
1,1425100.71,0,67.41,2.78,210.3895456,7.808,Venmo,Delaware,Winter,208,324.4700012,30-04-2010
1,1603955.12,0,72.55,2.835,210.3399684,7.808,PayPal,New Hampshire,Spring,180,321.2000122,07-05-2010
1,1494251.5,0,74.78,2.854,210.3374261,7.808,Debit Card,New York,Winter,165,317.9200134,14-05-2010
1,1399662.07,0,76.44,2.826,210.6170934,7.808,PayPal,Rhode Island,Winter,272,314.6400146,21-05-2010
1,1432069.95,0,80.44,2.759,210.8967606,7.808,Debit Card,Alabama,Spring,243,311.3599854,28-05-2010
1,1615524.71,0,80.69,2.705,211.1764278,7.808,Venmo,Mississippi,Winter,121,309.7200012,04-06-2010
1,1542561.09,0,80.43,2.668,211.4560951,7.808,Cash,Montana,Summer,259,304.8099976,11-06-2010
1,1503284.06,0,84.11,2.637,211.4537719,7.808,Debit Card,Rhode Island,Summer,239,275.3099976,18-06-2010
1,1422711.6,0,84.34,2.653,211.3386526,7.808,Cash,Louisiana,Winter,213,272.0299988,25-06-2010
1,1492418.14,0,80.91,2.669,211.2235333,7.787,Debit Card,North Carolina,Winter,141,268.7600098,02-07-2010
1,1546074.18,0,80.48,2.642,211.108414,7.787,Debit Card,California,Summer,114,262.2000122,09-07-2010
1,1448938.92,0,83.15,2.623,211.1003854,7.787,Credit Card,Oklahoma,Winter,107,245.8099976,16-07-2010
1,1385065.2,0,83.36,2.608,211.2351443,7.787,Debit Card,Florida,Fall,217,327.75,23-07-2010
1,1371986.6,0,81.84,2.64,211.3699032,7.787,PayPal,Texas,Summer,168,324.4700012,30-07-2010
1,1605491.78,0,87.16,2.627,211.5046621,7.787,Credit Card,Nevada,Spring,145,321.2000122,06-08-2010
1,1508237.76,0,87,2.692,211.6394211,7.787,Bank Transfer,Kentucky,Summer,258,317.9200134,13-08-2010
1,1513080.49,0,86.65,2.664,211.6033633,7.787,PayPal,North Carolina,Fall,249,314.6400146,20-08-2010
1,1449142.92,0,85.22,2.619,211.5673056,7.787,Credit Card,Wyoming,Fall,173,298.25,27-08-2010
1,1540163.53,0,81.21,2.577,211.5312479,7.787,Credit Card,North Carolina,Winter,210,294.980011,03-09-2010
1,1507460.69,1,78.69,2.565,211.4951902,7.787,Venmo,West Virginia,Winter,155,288.4200134,10-09-2010
1,1430378.67,0,82.11,2.582,211.5224596,7.787,Venmo,Kansas,Summer,275,285.1400146,17-09-2010
1,1351791.03,0,80.94,2.624,211.5972246,7.787,Cash,Colorado,Summer,181,275.3099976,24-09-2010
1,1453329.5,0,71.89,2.603,211.6719895,7.838,PayPal,North Dakota,Spring,103,272.0299988,01-10-2010
1,1508239.93,0,63.93,2.633,211.7467544,7.838,Credit Card,Massachusetts,Summer,178,268.7600098,08-10-2010
1,1459409.1,0,67.18,2.72,211.8137436,7.838,PayPal,Illinois,Winter,261,115.1800003,15-10-2010
1,1345454,0,69.86,2.725,211.8612937,7.838,PayPal,Indiana,Summer,149,79.18000031,22-10-2010
1,1384209.22,0,69.64,2.716,211.9088438,7.838,Venmo,Florida,Winter,277,75.98000336,29-10-2010
1,1551659.28,0,58.74,2.689,211.9563939,7.838,Credit Card,Arizona,Summer,216,91,05-11-2010
1,1494479.49,0,59.61,2.728,212.003944,7.838,Debit Card,Louisiana,Winter,162,87,12-11-2010
